matrix,row,col
S,8404,13094
I,J,V
3106.0,179.0,-1.0
1087.0,180.0,1.0
2072.0,180.0,-1.0
3518.0,180.0,-1.0
4360.0,180.0,1.0
4366.0,180.0,-1.0
1980.0,181.0,-1.0
1992.0,181.0,2.0
2642.0,181.0,-1.0
1976.0,182.0,-1.0
1980.0,182.0,1.0
2122.0,182.0,1.0
2210.0,182.0,-1.0
2642.0,182.0,-1.0
4768.0,182.0,1.0
2285.0,183.0,-1.0
2695.0,183.0,1.0
3102.0,183.0,-1.0
3107.0,183.0,1.0
330.0,184.0,-1.0
1977.0,184.0,1.0
3521.0,184.0,1.0
4361.0,184.0,-1.0
4367.0,184.0,1.0
1982.0,185.0,-1.0
1996.0,185.0,-1.0
2647.0,185.0,1.0
3523.0,185.0,1.0
3531.0,185.0,-1.0
3695.0,185.0,1.0
1071.0,186.0,-1.0
1112.0,186.0,1.0
3518.0,186.0,1.0
4360.0,186.0,-1.0
4366.0,186.0,1.0
333.0,187.0,-1.0
2695.0,187.0,1.0
3529.0,187.0,1.0
2122.0,188.0,1.0
2210.0,188.0,-1.0
3518.0,188.0,1.0
4865.0,188.0,1.0
4934.0,188.0,-1.0
3344.0,189.0,1.0
3359.0,189.0,-1.0
3524.0,189.0,1.0
4376.0,189.0,-1.0
4383.0,189.0,1.0
3343.0,190.0,-1.0
3358.0,190.0,1.0
3518.0,190.0,-1.0
4371.0,190.0,1.0
4378.0,190.0,-1.0
2032.0,191.0,-1.0
2210.0,191.0,1.0
3518.0,191.0,-1.0
4931.0,191.0,1.0
4934.0,191.0,-1.0
4935.0,192.0,-1.0
4937.0,192.0,1.0
4934.0,193.0,-1.0
4936.0,193.0,1.0
4933.0,194.0,-1.0
4934.0,194.0,1.0
1057.0,195.0,-1.0
1962.0,195.0,1.0
3301.0,195.0,1.0
2999.0,196.0,-1.0
3053.0,196.0,-1.0
3170.0,196.0,1.0
3301.0,196.0,1.0
1844.0,197.0,-1.0
2640.0,197.0,1.0
4376.0,197.0,-1.0
4383.0,197.0,1.0
4937.0,197.0,1.0
1843.0,198.0,-1.0
2636.0,198.0,1.0
4371.0,198.0,-1.0
4378.0,198.0,1.0
4936.0,198.0,1.0
1843.0,199.0,-1.0
2032.0,199.0,-1.0
2210.0,199.0,1.0
2831.0,199.0,1.0
3518.0,199.0,-1.0
2999.0,200.0,-1.0
4936.0,200.0,1.0
2999.0,201.0,-1.0
3301.0,201.0,1.0
4934.0,201.0,-1.0
4986.0,201.0,1.0
3053.0,202.0,1.0
3170.0,202.0,1.0
3301.0,202.0,-1.0
4986.0,202.0,-1.0
2032.0,203.0,-1.0
2210.0,203.0,1.0
3518.0,203.0,-1.0
4985.0,203.0,-1.0
4986.0,203.0,1.0
3518.0,204.0,-1.0
4985.0,204.0,-1.0
4986.0,204.0,1.0
5398.0,204.0,-1.0
5460.0,204.0,1.0
2032.0,205.0,1.0
2210.0,205.0,-1.0
3518.0,205.0,1.0
4986.0,205.0,1.0
5522.0,205.0,-1.0
2032.0,206.0,1.0
2210.0,206.0,-1.0
3518.0,206.0,1.0
5522.0,206.0,-1.0
5523.0,206.0,1.0
1844.0,207.0,1.0
3344.0,207.0,-1.0
3524.0,207.0,1.0
3532.0,207.0,-1.0
1843.0,208.0,1.0
3343.0,208.0,-1.0
3518.0,208.0,1.0
3526.0,208.0,-1.0
1056.0,209.0,-1.0
1057.0,209.0,1.0
3518.0,210.0,-1.0
4360.0,210.0,1.0
4366.0,210.0,-1.0
4927.0,210.0,1.0
4931.0,210.0,-1.0
1057.0,211.0,1.0
2032.0,211.0,1.0
2210.0,211.0,-1.0
2806.0,211.0,-1.0
3518.0,211.0,1.0
3344.0,212.0,-1.0
3359.0,212.0,1.0
3524.0,212.0,-1.0
4364.0,212.0,1.0
4369.0,212.0,-1.0
2032.0,213.0,-1.0
2122.0,213.0,1.0
3518.0,213.0,1.0
3526.0,213.0,-1.0
4748.0,213.0,1.0
2210.0,214.0,-1.0
2300.0,214.0,1.0
4768.0,214.0,1.0
2032.0,215.0,-2.0
2122.0,215.0,1.0
2210.0,215.0,1.0
2035.0,216.0,-2.0
2125.0,216.0,1.0
2213.0,216.0,1.0
2024.0,217.0,1.0
2122.0,217.0,-1.0
3526.0,217.0,-1.0
4748.0,217.0,1.0
2027.0,218.0,1.0
2129.0,218.0,-1.0
3533.0,218.0,-1.0
4755.0,218.0,1.0
2026.0,219.0,1.0
2125.0,219.0,-1.0
3529.0,219.0,-1.0
4751.0,219.0,1.0
2024.0,220.0,-1.0
2032.0,220.0,1.0
2122.0,220.0,1.0
2210.0,220.0,-1.0
3518.0,220.0,1.0
2122.0,221.0,1.0
2300.0,221.0,-1.0
3518.0,221.0,1.0
3526.0,221.0,-1.0
2032.0,222.0,-1.0
2210.0,222.0,1.0
3318.0,222.0,-1.0
3456.0,222.0,1.0
2333.0,223.0,1.0
3505.0,223.0,-1.0
4768.0,223.0,1.0
3110.0,224.0,-1.0
3526.0,224.0,1.0
3753.0,224.0,1.0
3518.0,225.0,1.0
3526.0,225.0,-1.0
3753.0,225.0,-1.0
4360.0,225.0,-1.0
4366.0,225.0,1.0
5496.0,225.0,1.0
2029.0,226.0,1.0
2206.0,226.0,-1.0
3318.0,226.0,1.0
3505.0,226.0,-1.0
3518.0,226.0,2.0
3753.0,226.0,-1.0
4748.0,226.0,1.0
2122.0,227.0,1.0
2210.0,227.0,-1.0
3374.0,227.0,1.0
3379.0,227.0,-1.0
3456.0,227.0,1.0
3518.0,227.0,2.0
3526.0,227.0,-1.0
4768.0,227.0,1.0
5496.0,227.0,-1.0
2333.0,228.0,-1.0
3456.0,228.0,1.0
3518.0,228.0,1.0
3526.0,228.0,-1.0
2122.0,229.0,-1.0
3526.0,229.0,-1.0
3753.0,229.0,1.0
4410.0,229.0,1.0
2021.0,230.0,1.0
2122.0,230.0,-1.0
4768.0,230.0,-1.0
4865.0,230.0,1.0
2023.0,231.0,1.0
2129.0,231.0,-1.0
